Store,Date,Total_Premium,Total_Charges,Credit_Card_Fee,State_Fee,Total_Deposit
Fiesta Auto Ins Center #FL021,01/28/2017,120.7900,0.0000,0,,120.7900
Fiesta Auto Ins Center #FL022,01/27/2017,790.0800,395.4800,5,,394.6000
Fiesta Auto Ins Center #FL022,01/28/2017,1734.3100,666.0000,5,,1073.3100
Fiesta Auto Ins Center #FL022,01/29/2017,268.6400,0.0000,0,,268.6400
Fiesta Auto Ins Center #FL023,01/27/2017,12.0000,0.0000,0,,12.0000
Fiesta Auto Ins Center #FL023,01/28/2017,451.8700,386.9500,10,,64.9200
Fiesta Auto Ins Center #FL024,01/27/2017,464.2000,284.4700,5,,179.7300
Fiesta Auto Ins Center #FL024,01/28/2017,0.0000,0.0000,0,,0.0000
Fiesta Auto Ins Center #NM001,01/27/2017,1997.2300,463.5400,20,,1538.6900
Fiesta Auto Ins Center #NM001,01/28/2017,1726.3500,425.7000,10,,1300.6500
Fiesta Auto Ins Center #NM002,01/27/2017,2000.8100,760.1800,15,,1240.6300
Fiesta Auto Ins Center #NM002,01/28/2017,1795.8900,110.7000,5,,1685.1900
Fiesta Auto Ins Center #NM003,01/27/2017,1404.2600,568.6000,20,,840.6600
Fiesta Auto Ins Center #NM003,01/28/2017,370.0000,497.0000,15,,-127.0000
Fiesta Auto Ins Center #NM003,01/29/2017,0.0000,0.0000,0,,0.0000
Fiesta Auto Ins Agency #NY001,01/27/2017,2178.4300,1583.0000,0,0.00,595.43
Fiesta Auto Ins Agency #NY001,01/28/2017,682.6500,562.6500,0,0.00,120.00
Fiesta Auto Ins Agency #NY014,01/27/2017,239.0000,0.0000,0,0.00,239.00
Fiesta Auto Ins Agency #NY014,01/28/2017,0.0000,0.0000,0,0.00,0.00
Fiesta Auto Ins Center #OH001,01/27/2017,2185.2000,248.5000,10,,1946.7000
Fiesta Auto Ins Center #OH001,01/28/2017,2232.2400,185.0000,15,,2057.2400
Fiesta Auto Ins Center #OH001,01/29/2017,198.0000,0.0000,0,,198.0000
Fiesta Auto Ins Center #OH002,01/27/2017,289.6700,0.0000,0,,289.6700
Fiesta Auto Ins Center #PA002,01/27/2017,0.0000,0.0000,0,,0.0000
Fiesta Auto Ins Center #TX003,01/27/2017,108.0500,0.0000,0,,108.0500
Fiesta Auto Ins Center #TX003,01/28/2017,686.3400,707.3400,0,,-21.0000
Fiesta Auto Ins Center #TX008,01/27/2017,513.1800,0.0000,0,,513.1800
Fiesta Auto Ins Center #TX008,01/28/2017,706.6100,0.0000,0,,706.6100
Fiesta Auto Ins Center #TX008,01/29/2017,189.4000,0.0000,0,,189.4000
Fiesta Auto Ins Center #TX009,01/27/2017,1253.5500,508.0000,5,,750.5500
Fiesta Auto Ins Center #TX009,01/28/2017,1245.9900,400.0000,10,,855.9900
Fiesta Auto Ins Center #TX013,01/27/2017,1207.4800,135.0000,0,,1072.4800
Fiesta Auto Ins Center #TX013,01/28/2017,1457.0900,68.5700,5,,1393.5200
Fiesta Auto Ins Center #TX014,01/27/2017,415.1400,0.0000,0,,415.1400
Fiesta Auto Ins Center #TX014,01/28/2017,627.3500,0.0000,0,,627.3500
Fiesta Auto Ins Center #TX015,01/27/2017,2244.2100,564.4300,15,,1694.7800
Fiesta Auto Ins Center #TX015,01/28/2017,2618.0100,556.9300,5,,2066.0800
Fiesta Auto Ins Center #TX015,01/29/2017,163.0000,0.0000,0,,163.0000
Fiesta Auto Ins Center #TX017,01/27/2017,1760.0000,1297.8200,30,,492.1800
Fiesta Auto Ins Center #TX017,01/28/2017,2036.2600,1222.0700,5,,819.1900
Fiesta Auto Ins Center #TX018,01/27/2017,915.3400,214.0000,5,,706.3400
Fiesta Auto Ins Center #TX018,01/28/2017,1280.8600,328.2500,5,,957.6100
Fiesta Auto Ins Center #TX019,01/27/2017,1053.5700,217.0000,10,,846.5700
Fiesta Auto Ins Center #TX019,01/28/2017,740.7400,120.0000,5,,625.7400
Fiesta Auto Ins Center #TX020,01/27/2017,1251.5100,366.0000,5,,885.5100
Fiesta Auto Ins Center #TX020,01/28/2017,125.1700,122.0000,0,,3.1700
Fiesta Auto Ins Center #TX030,01/27/2017,303.2100,185.0000,0,,118.2100
Fiesta Auto Ins Center #TX030,01/28/2017,459.2700,65.0000,5,,399.2700
Fiesta Auto Ins Center #TX031,01/27/2017,1125.3800,844.8400,10,,285.5400
Fiesta Auto Ins Center #TX031,01/28/2017,1192.2900,827.3500,20,,384.9400
Fiesta Auto Ins Center #TX032,01/27/2017,590.8600,0.0000,0,,590.8600
Fiesta Auto Ins Center #TX032,01/28/2017,850.9600,206.0000,0,,644.9600
Fiesta Auto Ins Center #TX033,01/27/2017,1507.2500,90.0000,0,,1417.2500
Fiesta Auto Ins Center #TX033,01/28/2017,2846.0800,45.0000,5,,2806.0800
Fiesta Auto Ins Center #TX034,01/27/2017,227.5900,145.0000,5,,87.5900
Fiesta Auto Ins Center #TX034,01/28/2017,176.5000,0.0000,0,,176.5000
Fiesta Auto Ins Center #TX037,01/27/2017,856.7900,627.1900,10,,239.6000
Fiesta Auto Ins Center #TX037,01/28/2017,79.0900,56.0000,10,,33.0900
Fiesta Auto Ins Center #TX038,01/27/2017,283.4600,0.0000,0,,283.4600
Fiesta Auto Ins Center #TX038,01/28/2017,68.3400,100.0000,0,,-31.6600
Fiesta Auto Ins Center #TN002,01/27/2017,1583.4900,802.2100,0,,781.2800
Fiesta Auto Ins Center #TN002,01/28/2017,226.7600,0.0000,0,,226.7600
