Store,Date,Total_Premium,Total_Charges,Credit_Card_Fee,State_Fee,Total_Deposit
Fiesta Auto Ins Center #CA027,01/27/2017,2796.9200,1547.6000,20,75,1344.3200
Fiesta Auto Ins Center #CA027,01/28/2017,506.5900,615.0000,20,0,-88.4100
Fiesta Auto Ins Center #CA028,01/27/2017,846.2600,275.0000,0,15,586.2600
Fiesta Auto Ins Center #CA028,01/28/2017,1364.3600,599.9900,10,45,819.3700
Fiesta Auto Ins Center #CA030,01/27/2017,4036.5100,687.7900,10,135,3493.7200
Fiesta Auto Ins Center #CA030,01/28/2017,2812.1100,355.0000,10,45,2512.1100
Fiesta Auto Ins Center #CA030,01/29/2017,3381.8400,487.7000,5,45,2944.1400
Fiesta Auto Ins Center #CA031,01/27/2017,4103.1300,660.0000,10,60,3513.1300
Fiesta Auto Ins Center #CA031,01/28/2017,3469.1200,625.0000,5,30,2879.1200
Fiesta Auto Ins Center #CA032,01/27/2017,2987.1000,299.0000,0,15,2703.1000
Fiesta Auto Ins Center #CA032,01/28/2017,2779.5100,298.0000,5,45,2531.5100
Fiesta Auto Ins Center #CA032,01/29/2017,1965.1800,628.0000,0,30,1367.1800
Fiesta Auto Ins Center #CA033,01/27/2017,6562.5700,1082.0000,0,135,5615.5700
Fiesta Auto Ins Center #CA033,01/28/2017,3893.3700,180.0000,0,45,3758.3700
Fiesta Auto Ins Center #CA033,01/29/2017,3552.4600,0.0000,0,45,3597.4600
Fiesta Auto Ins Center #CA034,01/27/2017,1451.7400,640.0000,10,45,866.7400
Fiesta Auto Ins Center #CA034,01/28/2017,1653.0800,300.0000,0,30,1383.0800
Fiesta Auto Ins Center #CA034,01/29/2017,654.9100,70.0000,0,15,599.9100
Fiesta Auto Ins Center #CA035,01/27/2017,1677.0900,401.2600,10,15,1300.8300
Fiesta Auto Ins Center #CA035,01/28/2017,2001.8000,1233.1100,5,60,833.6900
Fiesta Auto Ins Center #CA035,01/29/2017,275.2900,0.0000,0,15,290.2900
Fiesta Auto Ins Center #CA036,01/27/2017,2053.5200,0.0000,0,75,2128.5200
Fiesta Auto Ins Center #CA036,01/28/2017,3202.0300,0.0000,0,0,3202.0300
Fiesta Auto Ins Center #CA036,01/29/2017,2446.1800,0.0000,0,0,2446.1800
Fiesta Auto Ins Center #CA037,01/27/2017,2765.9000,924.0000,20,60,1921.9000
Fiesta Auto Ins Center #CA037,01/28/2017,2894.1900,194.0000,5,15,2720.1900
Fiesta Auto Ins Center #CA037,01/29/2017,2552.4200,0.0000,0,15,2567.4200
Fiesta Auto Ins Center #CA038,01/27/2017,3692.8000,696.0000,5,75,3076.8000
Fiesta Auto Ins Center #CA038,01/28/2017,2106.1400,493.1300,10,45,1668.0100
Fiesta Auto Ins Center #CA038,01/29/2017,2937.1300,0.0000,0,30,2967.1300
Fiesta Auto Ins Center #CA039,01/27/2017,1382.5500,445.0000,0,45,982.5500
Fiesta Auto Ins Center #CA039,01/28/2017,1649.9600,0.0000,0,15,1664.9600
Fiesta Auto Ins Center #CA039,01/29/2017,1425.6800,577.0000,5,60,913.6800
Fiesta Auto Ins Center #CA040,01/27/2017,380.0000,290.0000,5,0,95.0000
Fiesta Auto Ins Center #CA040,01/28/2017,302.1000,0.0000,0,0,302.1000
Fiesta Auto Ins Center #CA040,01/29/2017,195.6900,0.0000,0,30,225.6900
Fiesta Auto Ins Center #CA041,01/27/2017,1129.3300,202.0000,5,15,947.3300
Fiesta Auto Ins Center #CA041,01/28/2017,1825.9100,308.0000,0,75,1592.9100
Fiesta Auto Ins Center #CA042,01/27/2017,4902.5900,343.0000,5,30,4594.5900
Fiesta Auto Ins Center #CA042,01/28/2017,2503.1600,87.0000,5,15,2436.1600
