Store,Date,Gross Commissions,Commissions Percentage,Commissions,Commissions Percentage,Commissions,Total Commissions,Tax Preparation Revenue,Less: Tax Royalties Multiplicand,Less: Tax Royalties Multiplier,Less: Tax Royalties Product,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loans due from Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Acctg - Scanning Violation Penalties,Acctg - Deposit Violation Penalties,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Basic Rent,Basic Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,Acctg - Accounting Violation Penalties,Advertising,Appointment Fees,Arrow Protection,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Renewal Fee,Incentive,Max Shield,Total Deductions,Previous Unpaid Balance,Balance Due To/(From) Franchise
CA028,Sep-17,"$15,217.51",85.00%,$184.88,80.00%,"$12,000.00","$12,184.88",$0.00,0,$0.00,$0.00,$0.00,"$12,184.88",,,,,,,$200.00,,,,,,,,"$1,018.91",,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,"$2,438.91",,"$9,745.97"
CA030,Sep-17,"$45,630.25",85.00%,"$26,035.71",80.00%,"$12,000.00","$38,035.71",$704.00,9,$30.00,-$270.00,$434.00,"$38,469.71",,,,,,,$200.00,,,$17.85,,,,,$263.02,,,,,,,,$75.00,,,,,,,,,,,,,,,,,,,$150.00,"$1,469.09",,,,,,,,,,"$2,000.00",,$44.95,"$4,219.91",,"$34,249.80"
CA031,Sep-17,"$22,532.13",82.50%,"$6,214.01",77.50%,"$11,625.00","$17,839.01",$0.00,0,$0.00,$0.00,$0.00,"$17,839.01",,,,,,,$200.00,,,,,,,,$67.17,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,"$1,542.17",,"$16,296.84"
CA032,Sep-17,"$29,002.19",85.00%,"$11,901.86",80.00%,"$12,000.00","$23,901.86",$49.05,0,$0.00,$0.00,$49.05,"$23,950.91",,,,,,,$200.00,,,$22.95,,,,,$280.74,,,,$29.00,$2.00,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$170.00,"$1,189.63",,,,,,,,,,,,,"$1,969.32",,"$21,981.59"
CA033,Sep-17,"$49,079.26",85.00%,"$28,967.37",80.00%,"$12,000.00","$40,967.37",$0.00,0,$0.00,$0.00,$0.00,"$40,967.37",,,,,,,$200.00,,,,,,,,$404.87,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,,$120.00,"$1,312.72",,,,,,,,,,,,,"$2,087.59",,"$38,879.78"
CA034,Sep-17,"$14,159.76",75.00%,"$10,619.82",,,"$10,619.82",$0.00,4,$30.00,-$120.00,-$120.00,"$10,499.82",,,,,,,$200.00,,,,,,,,$43.78,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,$482.86,$80.00,"$1,200.00",,,,,,,,,,,,,"$2,031.64",,"$8,468.18"
CA035,Sep-17,"$18,192.20",80.00%,"$2,553.76",75.00%,"$11,250.00","$13,803.76",$0.00,0,$0.00,$0.00,$0.00,"$13,803.76",,,,,,,$200.00,,,,,,,,$4.02,,,,,-$15.74,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$70.00,"$1,200.00",,,,,,,,,,,,,"$1,533.28",,"$12,270.48"
CA036,Sep-17,"$16,866.99",85.00%,"$1,586.94",80.00%,"$12,000.00","$13,586.94",$0.00,3,$30.00,-$90.00,-$90.00,"$13,496.94",,,,,,,$200.00,,,$20.40,,,,,$219.75,,,,,,,,$150.00,$100.00,,,,,,,,,,,,,,,,,,$180.00,"$1,189.64",,,,,,,,,,,,,"$2,059.79",,"$11,437.15"
CA037,Sep-17,"$23,660.33",85.00%,"$7,361.28",80.00%,"$12,000.00","$19,361.28",$0.00,0,$0.00,$0.00,$0.00,"$19,361.28",,,,,,,$200.00,,,$35.70,,,,,$898.81,,,,,$0.24,,,$50.00,$100.00,,,,,,,,,,,,,,,,,,$150.00,"$1,739.63",,,,,,,,,,,,,"$3,174.38",,"$16,186.90"
CA038,Sep-17,"$34,119.06",85.00%,"$16,251.20",80.00%,"$12,000.00","$28,251.20",$0.00,0,$0.00,$0.00,$0.00,"$28,251.20",,,,,,,$200.00,,,,,,,,$220.40,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$150.00,"$1,429.82",,,,,,,,,,,,,"$2,025.22",,"$26,225.98"
CA039,Sep-17,"$20,361.55",85.00%,"$4,557.32",80.00%,"$12,000.00","$16,557.32",$0.00,2,$30.00,-$60.00,-$60.00,"$16,497.32",,,,,,,$200.00,,,,,,,,$200.56,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,"$1,620.56",,"$14,876.76"
CA040,Sep-17,"$6,939.71",80.00%,"$5,551.77",,,"$5,551.77",$0.00,0,$0.00,$0.00,$0.00,"$5,551.77",,,,,,,$200.00,,,,$774.79,,,,$97.23,,,,,,,,$125.00,$50.00,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,"$2,467.02",,"$3,084.75"
CA041,Sep-17,"$14,216.51",75.00%,"$10,662.38",,,"$10,662.38",$0.00,0,$0.00,$0.00,$0.00,"$10,662.38",,,,,,,$200.00,,,,,,,,$214.30,,,,$273.65,,,,$275.00,,,,,,,,,,,,,,,,,,$177.08,$90.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,"$4,430.03",,"$6,232.35"
CA042,Sep-17,"$21,537.05",85.00%,"$5,556.49",80.00%,"$12,000.00","$17,556.49",$236.95,6,$30.00,-$180.00,$56.95,"$17,613.44",,,,,,,$200.00,,,,,,,,$497.52,,,,$174.00,$5.00,,,$100.00,$50.00,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,$179.80,"$2,466.32",,"$15,147.12"
CA043,Sep-17,"$15,932.83",85.00%,$792.91,80.00%,"$12,000.00","$12,792.91",$0.00,3,$30.00,-$90.00,-$90.00,"$12,702.91",,,,,,,$200.00,,,,,,,,$650.38,,,,,,,,,,,,,,,,,,,,,,,,,,,$100.00,"$1,200.00",,,,,,,,,,,,,"$2,150.38",,"$10,552.53"
CA044,Sep-17,"$11,908.78",80.00%,"$9,527.02",,,"$9,527.02",$224.95,0,$0.00,$0.00,$224.95,"$9,751.97",,,,,,,$200.00,,,,,,,,$60.00,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,,"$1,545.00",,"$8,206.97"
CA045,Sep-17,"$14,714.97",80.00%,"$11,771.98",,,"$11,771.98",$0.00,8,$30.00,-$240.00,-$240.00,"$11,531.98",,,,,,,$200.00,,,,,,,,$226.48,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,469.08",,,,,,,,,,,,,"$1,945.56",,"$9,586.42"
CA046,Sep-17,"$1,367.47",80.00%,"$1,093.98",,,"$1,093.98",$0.00,0,$0.00,$0.00,$0.00,"$1,093.98",,,,,,,$200.00,,,,,,,,$11.88,,,,,-$22.81,,,,$50.00,,,,,,,,,,,,,,,,,,$60.00,"$1,357.67",,,,,,,,,,,,,"$1,656.74",,-$562.76
CA047,Sep-17,"$7,086.17",80.00%,"$5,668.94",,,"$5,668.94",$0.00,0,$0.00,$0.00,$0.00,"$5,668.94",,,,,,,$200.00,,,$30.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,210.47",,,,,,,,,,,,,"$1,461.07",,"$4,207.87"
CA048,Sep-17,"$1,161.80",80.00%,$929.44,,,$929.44,$0.00,0,$0.00,$0.00,$0.00,$929.44,,,,,,,$200.00,,,$20.40,,,,,,,,,,,,,,$100.00,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,"$1,520.40",,-$590.96
CA050,Sep-17,"$28,596.31",85.00%,"$11,556.86",80.00%,"$12,000.00","$23,556.86",$0.00,5,$40.00,-$200.00,-$200.00,"$23,356.86",,,,,,,$200.00,,,,,,,,$187.04,,,,,,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$130.00,"$1,428.46",,,,,,,,,,,,,"$2,070.50",,"$21,286.36"
CA054,Sep-17,"$12,694.60",80.00%,"$10,155.68",,,"$10,155.68",$0.00,0,$0.00,$0.00,$0.00,"$10,155.68",,,,,,,$200.00,,,,,,,,$189.02,,,,,"-$3,792.10",,,$25.00,$150.00,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,,,,"-$1,988.08",,"$12,143.76"
CA056,Sep-17,"$27,794.63",85.00%,"$10,875.44",80.00%,"$12,000.00","$22,875.44",$0.00,3,$30.00,-$90.00,-$90.00,"$22,785.44",,,,,,,$200.00,,,,,,,,$113.89,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$100.00,"$1,200.00",,,,,,,,,,,,,"$1,638.89",,"$21,146.55"
CA057,Sep-17,"$11,622.87",80.00%,"$9,298.30",,,"$9,298.30",$0.00,2,$30.00,-$60.00,-$60.00,"$9,238.30",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,210.47",,,,,,,,,,,,,"$1,430.47",,"$7,807.83"
CA058,Sep-17,"$10,752.76",80.00%,"$8,602.21",,,"$8,602.21",$0.00,0,$0.00,$0.00,$0.00,"$8,602.21",,,,,,,$200.00,,,,,,,,$675.86,,,,,-$0.96,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$50.00,"$1,210.47",,,,,,,,,,,,,"$2,210.37",,"$6,391.84"
CA059,Sep-17,"$19,124.71",85.00%,"$3,506.00",80.00%,"$12,000.00","$15,506.00",$0.00,0,$0.00,$0.00,$0.00,"$15,506.00",,,,,,,$200.00,,,$28.05,,,,,$378.03,,,,,-$5.00,,,,$50.00,,,,,,,,,,,,,,,,,,$70.00,"$1,210.47",,,,,,,,,,,,,"$1,931.55",,"$13,574.45"
CA060,Sep-17,"$14,087.68",80.00%,"$11,270.14",,,"$11,270.14",$0.00,8,$30.00,-$240.00,-$240.00,"$11,030.14",,,,,,,$200.00,,,,,,,,$480.53,,,,,$20.00,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$70.00,"$1,366.67",,,,,,,,,,"$2,000.00",,,"$4,262.20",,"$6,767.94"
CA061,Sep-17,"$4,785.44",80.00%,"$3,828.35",,,"$3,828.35",$0.00,0,$0.00,$0.00,$0.00,"$3,828.35",,,,,,,$200.00,,,,,,,,$54.27,,,,,-$164.39,,,,$50.00,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,"$3,349.88",,$478.47
CA062,Sep-17,"$2,952.14",80.00%,"$2,361.71",,,"$2,361.71",$0.00,0,$0.00,$0.00,$0.00,"$2,361.71",,,,,,,$200.00,,,,,,,,,,,,,-$1.81,,,,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,"$2,000.00",,,"$3,398.19",,"-$1,036.48"
CA065,Sep-17,"$15,083.20",80.00%,$66.56,75.00%,"$11,250.00","$11,316.56",$0.00,3,$30.00,-$90.00,-$90.00,"$11,226.56",,,,,,,$200.00,,,,,,,,$140.25,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,"$1,428.24",,,,,,,,,,"$2,000.00",,,"$3,798.49",,"$7,428.07"
CA066,Sep-17,"$10,780.98",80.00%,"$8,624.78",,,"$8,624.78",$0.00,1,$30.00,-$30.00,-$30.00,"$8,594.78",,,,,,,$200.00,,,$17.85,,,,,$55.00,,,,,,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$40.00,"$1,428.24",,,,,,,,,,"$2,000.00",,,"$3,816.09",,"$4,778.69"
CA067,Sep-17,"$4,120.85",80.00%,"$3,296.68",,,"$3,296.68",$0.00,0,$0.00,$0.00,$0.00,"$3,296.68",,,,,,,$200.00,,,$45.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,357.68",,,,,,,,,,"$2,000.00",,,"$3,603.58",,-$306.90
CA068,Sep-17,"$3,702.33",80.00%,"$2,961.86",,,"$2,961.86",$0.00,0,$0.00,$0.00,$0.00,"$2,961.86",,,,,,,$200.00,,,$38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,234.60",,,,,,,,,,"$2,000.00",,,"$3,492.85",,-$530.99
CA069,Sep-17,"$3,863.91",77.50%,"$2,994.53",,,"$2,994.53",$0.00,0,$0.00,$0.00,$0.00,"$2,994.53",,,,,,,$200.00,,,,,,,,,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,"$1,425.00",,"$1,569.53"
CA072,Sep-17,"$9,183.71",75.00%,"$6,887.78",,,"$6,887.78",$0.00,1,$30.00,-$30.00,-$30.00,"$6,857.78",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,"$1,400.00",,"$5,457.78"
CA074,Sep-17,"$16,420.76",85.00%,"$1,207.65",80.00%,"$12,000.00","$13,207.65",$0.00,1,$30.00,-$30.00,-$30.00,"$13,177.65",,,,,,,$200.00,,,$12.75,,,,,$0.36,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$70.00,"$1,428.24",,,,,,,,,,,,,"$1,736.35",,"$11,441.30"
CA075,Sep-17,"$4,155.19",80.00%,"$3,324.15",,,"$3,324.15",$0.00,0,$0.00,$0.00,$0.00,"$3,324.15",,,,,,,$200.00,,,,,,,,,,,,,$0.05,,,,$50.00,,,,,,,,,,,,,,,,,,$20.00,"$1,357.68",,,,,,,,,,,,,"$1,627.73",,"$1,696.42"
CA076,Sep-17,"$13,082.46",80.00%,"$10,465.97",,,"$10,465.97",$0.00,0,$0.00,$0.00,$0.00,"$10,465.97",,,,,,,$200.00,,,$33.15,,,,,"$1,534.07",,,,,-$285.00,,,$25.00,$150.00,,,,,,,,,,,,,,,,,,$220.00,"$1,200.00",,,,,,,,,,,,,"$3,077.22",,"$7,388.75"
CA078,Sep-17,"$7,557.56",75.00%,"$5,668.17",,,"$5,668.17",$0.00,0,$0.00,$0.00,$0.00,"$5,668.17",,,,,,,$200.00,,,,,,,,$0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,$120.00,"$1,200.00",,,,,,,,,,,,,"$1,520.07",,"$4,148.10"
CA079,Sep-17,"$13,318.21",80.00%,"$10,654.57",,,"$10,654.57",$0.00,1,$30.00,-$30.00,-$30.00,"$10,624.57",,,,,,,$200.00,,,$12.75,"$1,239.66",,,,$76.08,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,"$2,778.49",,"$7,846.08"
CA080,Sep-17,"$6,027.44",80.00%,"$4,821.95",,,"$4,821.95",$0.00,0,$0.00,$0.00,$0.00,"$4,821.95",,,,,,,$200.00,,,,,,,,$11.20,,,,$29.00,,,,,$100.00,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,,"$1,600.20",,"$3,221.75"
CA082,Sep-17,"$16,907.50",85.00%,"$1,621.38",80.00%,"$12,000.00","$13,621.38",$0.00,0,$0.00,$0.00,$0.00,"$13,621.38",,,,,,,$200.00,,,$33.15,,,,,$0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,"$1,443.65",,"$12,177.73"
CA083,Sep-17,"$19,709.98",82.50%,"$3,885.73",77.50%,"$11,625.00","$15,510.73",$240.00,0,$0.00,$0.00,$240.00,"$15,750.73",,,,,,,$200.00,,,,,,,,$752.57,,,,,$0.37,,,,$50.00,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,,,,"$2,242.94",,"$13,507.79"
CA085,Sep-17,"$12,396.64",80.00%,"$9,917.31",,,"$9,917.31",$200.00,0,$0.00,$0.00,$200.00,"$10,117.31",,,,,,,$200.00,,,$45.90,,,,,$357.53,,,,,,,,,,,,,,,,,,,,,,,,,,,$80.00,"$1,200.00",,,,,,,,,,,,,"$1,883.43",,"$8,233.88"
